Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
73,Drake Baldwin*,24,ATL,NL,3.3,124,446,405,56,111,18,2,19,80,0,0,38,68,.274,.341,.469,.810,126,.358,130,190,9,3,0,0,0,2HD,ROY-1,baldwdr01
74,Xavier Edwards#,25,MIA,NL,3.2,139,619,561,75,159,20,5,3,43,27,7,49,88,.283,.343,.353,.695,94,.317,93,198,6,3,3,3,2,46/HD,,edwarxa01
75,Wilyer Abreu*,26,BOS,AL,3.2,115,417,373,53,92,17,0,22,69,6,3,40,101,.247,.317,.469,.786,116,.332,112,175,8,0,1,3,5,9H/D,GG,abreuwi02
76,Roman Anthony*,21,BOS,AL,3.1,71,303,257,48,75,18,1,8,32,4,1,40,84,.292,.396,.463,.859,140,.375,142,119,2,5,0,1,0,97D/H,ROY-3,anthoro01
77,Dillon Dingler,26,DET,AL,3.1,126,469,435,54,121,21,2,13,57,0,0,23,110,.278,.327,.425,.752,108,.329,109,185,5,9,0,1,2,*2/HD,GG,dingldi01
78,Brett Baty*,25,NYM,NL,3.1,130,432,393,53,100,13,2,18,50,8,0,33,108,.254,.313,.435,.748,111,.336,113,171,6,2,0,3,0,54H/D,,batybr01
79,Christian Yelich*,33,MIL,NL,3.1,150,644,573,88,151,21,0,29,103,16,6,64,167,.264,.343,.452,.795,121,.350,121,259,6,6,0,1,6,*D7/H,MVP-12,yelicch01
80,Bryce Harper*,32,PHI,NL,3.1,132,580,501,72,131,32,0,27,75,12,2,70,121,.261,.357,.487,.844,129,.367,127,244,5,6,0,3,6,*3/D,,harpebr03
81,Josh Naylor*,28,2TM,2LG,3.1,147,604,543,81,160,29,1,20,92,30,2,48,83,.295,.353,.462,.816,128,.365,128,251,17,4,0,5,4,*3D/H,,naylojo01
82,Matt Shaw,23,CHC,NL,3.1,126,437,393,57,89,21,3,13,44,17,5,38,94,.226,.295,.394,.690,98,.309,99,155,2,2,0,4,0,*5/H4,ROY-9,shawma01
83,Sal Frelick*,25,MIL,NL,3.0,142,594,528,76,152,20,3,12,63,19,6,47,80,.288,.351,.405,.756,111,.335,110,214,4,7,3,5,0,*98/H35,,frelisa01
84,Jacob Wilson,23,ATH,AL,3.0,125,523,486,62,151,26,0,13,63,5,2,27,39,.311,.355,.444,.800,121,.354,127,216,16,7,2,1,1,*6/D,ASMVP-18ROY-2,wilsoja05
85,Ronald Acuña Jr.,27,ATL,NL,3.0,95,412,338,74,98,12,1,21,42,9,1,71,102,.290,.417,.518,.935,163,.407,162,175,5,3,0,0,4,9/DH,AS,acunaro01
86,Josh Smith*,27,TEX,AL,3.0,144,563,495,70,124,23,2,10,35,12,3,55,100,.251,.335,.366,.700,107,.318,113,181,3,8,3,1,2,653HD/7948,,smithjo11
87,Gleyber Torres,28,DET,AL,2.9,145,628,532,79,136,22,0,16,74,4,1,85,101,.256,.358,.387,.745,108,.336,113,206,11,4,0,7,0,*4D/H,AS,torregl01
88,José Caballero,28,2TM,AL,2.9,126,370,314,52,74,18,1,5,36,49,11,47,98,.236,.339,.347,.686,94,.331,100,109,1,3,4,2,0,6954H7/D81,,cabaljo01
89,Brandon Nimmo*,32,NYM,NL,2.9,155,652,587,81,154,27,0,25,92,13,1,50,141,.262,.324,.436,.760,114,.335,113,256,8,7,1,7,1,*7/8DH,,nimmobr01
90,Myles Straw,30,TOR,AL,2.9,137,299,267,51,70,14,1,4,32,12,1,19,50,.262,.313,.367,.680,87,.311,87,98,5,1,11,1,0,*87H9/4,,strawmy01
91,Zach McKinstry*,30,DET,AL,2.8,144,511,452,68,117,23,11,12,49,19,5,46,111,.259,.333,.438,.771,113,.336,111,198,6,7,1,5,1,5697H/4D13,ASSS,mckinza01
92,Mike Yastrzemski*,34,2TM,2LG,2.8,146,558,477,68,111,28,1,17,46,7,2,72,108,.233,.333,.403,.735,109,.328,111,192,7,2,2,5,4,*9H8/7D1,,yastrmi01
93,Danny Jansen,30,2TM,2LG,2.8,98,337,288,38,62,11,0,14,36,0,0,42,86,.215,.321,.399,.721,101,.321,104,115,5,4,1,2,0,2H/D,,janseda01
94,Daulton Varsho*,28,TOR,AL,2.8,71,271,248,43,59,13,2,20,55,2,0,17,77,.238,.284,.548,.833,122,.343,116,136,1,1,0,5,1,8/HD,,varshda01
95,Caleb Durbin,25,MIL,NL,2.8,136,506,445,60,114,25,0,11,53,18,6,30,50,.256,.334,.387,.721,101,.330,106,172,10,24,3,4,0,*54H/6,ROY-3,durbica01
96,Adolis García,32,TEX,AL,2.7,135,547,507,58,115,28,0,19,75,13,4,28,135,.227,.271,.394,.665,93,.291,94,200,9,5,0,7,1,*9/DH,,garciad02
97,Jackson Merrill*,22,SDP,NL,2.7,115,483,440,59,116,25,6,16,67,1,2,33,108,.264,.317,.457,.774,112,.331,108,201,4,4,1,5,1,*8/H,,merrija01
98,Taylor Ward,31,LAA,AL,2.7,157,663,579,86,132,31,2,36,103,4,1,75,175,.228,.317,.475,.792,116,.342,117,275,13,3,0,6,1,*7/DH,,wardta01
